ticker,date,open,close,high,low,volume
XLK,2024-01-02,94.93000030517578,93.72000122070312,95.08000183105469,93.125,23545400
XLK,2024-01-03,92.86499786376953,92.76499938964844,93.375,92.5999984741211,18190000
XLK,2024-01-04,92.19499969482422,92.08499908447266,92.83499908447266,91.99500274658203,12127200
XLK,2024-01-05,92.19000244140625,92.05999755859375,92.8550033569336,91.70999908447266,16350600
XLK,2024-01-08,92.5250015258789,94.37000274658203,94.43499755859375,92.43000030517578,16434600
XLK,2024-01-09,93.6449966430664,94.5199966430664,94.79000091552734,93.44499969482422,10633800
XLK,2024-01-10,94.56500244140625,95.32499694824219,95.52999877929688,94.36499786376953,9785400
XLK,2024-01-11,95.79499816894531,95.80999755859375,96.2750015258789,94.46499633789062,13296600
XLK,2024-01-12,95.96499633789062,96.12000274658203,96.33999633789062,95.63999938964844,8834600
XLK,2024-01-16,96.0,96.36000061035156,96.76499938964844,95.44499969482422,11775600
XLK,2024-01-17,95.6449966430664,95.88500213623047,96.0,94.84500122070312,14109000
XLK,2024-01-18,97.16500091552734,97.83000183105469,97.91999816894531,96.80000305175781,18918800
XLK,2024-01-19,98.47000122070312,100.08499908447266,100.1050033569336,98.25499725341797,18333200
XLK,2024-01-22,100.57499694824219,100.5250015258789,101.13999938964844,100.1449966430664,14969000
XLK,2024-01-23,100.62000274658203,100.93000030517578,100.99500274658203,100.03500366210938,13263800
XLK,2024-01-24,101.625,101.625,102.6449966430664,101.33499908447266,17651200
XLK,2024-01-25,102.55999755859375,102.05000305175781,103.07499694824219,101.58000183105469,17071400
XLK,2024-01-26,101.33499908447266,100.875,101.78500366210938,100.6449966430664,10553000
XLK,2024-01-29,101.0,101.80000305175781,101.81999969482422,100.80000305175781,7639600
XLK,2024-01-30,101.76499938964844,100.95999908447266,101.91999816894531,100.6500015258789,12251600
XLK,2024-01-31,100.0,98.83999633789062,100.41000366210938,98.79000091552734,16295200
XLK,2024-02-01,99.23500061035156,100.08499908447266,100.2249984741211,99.16999816894531,14303400
XLK,2024-02-02,99.40499877929688,101.12000274658203,101.44000244140625,99.375,12872200
XLK,2024-02-05,101.52999877929688,101.3499984741211,101.63999938964844,100.4000015258789,10086200
XLK,2024-02-06,101.45999908447266,100.88500213623047,101.63500213623047,100.23500061035156,12677200
XLK,2024-02-07,101.59500122070312,102.22000122070312,102.24500274658203,101.19000244140625,11365800
XLK,2024-02-08,102.3949966430664,102.54000091552734,102.81500244140625,102.2699966430664,9948200
XLK,2024-02-09,102.97000122070312,103.91999816894531,104.05500030517578,102.8499984741211,11612200
XLK,2024-02-12,103.91500091552734,103.12999725341797,104.23500061035156,102.9800033569336,10753200
XLK,2024-02-13,100.8949966430664,101.37999725341797,102.05999755859375,100.58999633789062,19459400
XLK,2024-02-14,102.13500213623047,102.44000244140625,102.5199966430664,101.41500091552734,11791600
XLK,2024-02-15,102.57499694824219,102.2249984741211,102.67500305175781,101.65499877929688,10796400
XLK,2024-02-16,102.5,101.28500366210938,102.70500183105469,101.1500015258789,11090400
XLK,2024-02-20,100.69000244140625,100.25499725341797,101.05000305175781,99.25,17447600
XLK,2024-02-21,99.28500366210938,99.625,99.625,98.53500366210938,15954400
XLK,2024-02-22,102.19999694824219,102.88500213623047,103.16500091552734,101.96499633789062,18551600
XLK,2024-02-23,103.69999694824219,102.6449966430664,103.83000183105469,102.31999969482422,12324000
XLK,2024-02-26,103.09500122070312,102.74500274658203,103.3499984741211,102.63999938964844,18248800
XLK,2024-02-27,103.0250015258789,102.83499908447266,103.0250015258789,102.06999969482422,9984400
XLK,2024-02-28,102.49500274658203,102.3499984741211,102.62999725341797,101.9800033569336,8329000
XLK,2024-02-29,102.8949966430664,103.48999786376953,103.73500061035156,102.31999969482422,11986800
XLK,2024-03-01,103.75499725341797,105.37999725341797,105.52999877929688,103.70500183105469,13136800
XLK,2024-03-04,105.2300033569336,105.37999725341797,105.98500061035156,104.99500274658203,20443800
XLK,2024-03-05,104.33999633789062,102.79000091552734,104.38999938964844,102.125,18042800
XLK,2024-03-06,103.86499786376953,103.6050033569336,104.38500213623047,102.91000366210938,14303200
XLK,2024-03-07,104.48999786376953,105.23999786376953,105.55999755859375,103.97000122070312,12120800
XLK,2024-03-08,105.43000030517578,103.67500305175781,106.17500305175781,103.61000061035156,14912200
XLK,2024-03-11,103.19999694824219,103.38999938964844,103.62000274658203,102.6449966430664,15648400
XLK,2024-03-12,104.38500213623047,105.51000213623047,105.5199966430664,103.3949966430664,17382800
