timestamp_et,spy_close,vix,ribbon_stack,ribbon_spread_cents,htf_15m_stack,bear_score,blockers,triggers_fired,rejection_level,passed
2026-05-08T13:25:00-04:00,737.68,17.479999542236328,BULL,45.83406231162144,,7,5|8|10,,,False
2026-05-08T13:30:00-04:00,737.655,17.479999542236328,BULL,47.028686063038094,,6,5|8|9|10,,,False
2026-05-08T13:35:00-04:00,737.455,17.479999542236328,BULL,45.695818791227794,,8,5|8,level_rejection,737.82,False
2026-05-08T13:40:00-04:00,737.28,17.479999542236328,BULL,42.54782984594385,,7,5|8|10,,,False
2026-05-08T13:45:00-04:00,737.3,17.479999542236328,BULL,39.91567666149649,,6,5|8|9|10,,,False
2026-05-08T13:50:00-04:00,737.38,17.479999542236328,BULL,38.33521441271159,,6,5|8|9|10,,,False
2026-05-08T13:55:00-04:00,737.19,17.479999542236328,BULL,34.87352116787861,,6,5|8|9|10,,,False
2026-05-08T14:00:00-04:00,737.57,17.479999542236328,BULL,35.701671204662944,,5,1|5|7|8|9,level_rejection,737.82,False
2026-05-08T14:05:00-04:00,737.4,17.479999542236328,BULL,34.4396740267257,,5,1|5|7|8|10,,,False
2026-05-08T14:10:00-04:00,737.73,17.479999542236328,BULL,36.56864617764768,,5,1|5|7|8|9,level_rejection,737.82,False
2026-05-08T14:15:00-04:00,737.78,17.479999542236328,BULL,38.61597228320761,,6,1|5|7|8,level_rejection,737.82,False
2026-05-08T14:20:00-04:00,737.77,17.479999542236328,BULL,39.97198982605141,,7,1|5|8,level_rejection,737.82,False
2026-05-08T14:25:00-04:00,737.725,17.479999542236328,BULL,40.39459322964376,,6,1|5|8|10,,,False
2026-05-08T14:30:00-04:00,737.595,17.479999542236328,BULL,39.179972160707166,,7,1|5|8,level_rejection,737.82,False
2026-05-08T14:35:00-04:00,737.5,17.479999542236328,BULL,36.983520015633076,,6,1|5|8|10,,,False
2026-05-08T14:40:00-04:00,737.27,17.479999542236328,BULL,32.61510443270481,,6,1|5|8|10,,,False
2026-05-08T14:45:00-04:00,736.93,17.479999542236328,BULL,25.364015793491035,,5,1|5|6|8|10,,,False
2026-05-08T14:50:00-04:00,736.55,17.479999542236328,MIXED,18.357008248483453,,5,1|5|6|8|10,,,False
2026-05-08T14:55:00-04:00,736.39,17.479999542236328,MIXED,12.48260547370137,,5,1|5|6|8|10,,,False
2026-05-08T15:00:00-04:00,736.61,17.18000030517578,MIXED,9.043003450540255,,4,5|6|7|8|9|10,,,False
2026-05-08T15:05:00-04:00,736.87,17.18000030517578,MIXED,9.23618593167248,,4,5|6|7|8|9|10,,,False
2026-05-08T15:10:00-04:00,736.77,17.18000030517578,MIXED,9.736528999610528,,6,5|6|8|10,,,False
2026-05-08T15:15:00-04:00,737.155,17.18000030517578,MIXED,8.158747038692127,,4,5|6|7|8|9|10,,,False
2026-05-08T15:20:00-04:00,736.995,17.18000030517578,MIXED,7.586062429015783,,5,5|6|7|8|10,,,False
2026-05-08T15:25:00-04:00,736.68,17.18000030517578,MIXED,8.538727936763735,,6,5|6|8|10,,,False
2026-05-08T15:30:00-04:00,737.04,17.18000030517578,MIXED,7.447070875605277,,4,5|6|7|8|9|10,,,False
2026-05-08T15:35:00-04:00,737.12,17.18000030517578,MIXED,6.118206612188715,,4,5|6|7|8|9|10,,,False
2026-05-08T15:40:00-04:00,737.34,17.18000030517578,MIXED,3.9567988621570294,,5,5|6|8|9|10,,,False
2026-05-08T15:45:00-04:00,737.22,17.18000030517578,MIXED,2.9799259242167864,,6,5|6|8|10,,,False
2026-05-11T09:35:00-04:00,737.55,18.190000534057617,BULL,17.39370858882694,,6,1|5|6|8,level_rejection,737.54,False
2026-05-11T09:40:00-04:00,738.37,18.190000534057617,BULL,27.23144659190666,,4,1|5|6|8|9|10,,,False
2026-05-11T09:45:00-04:00,738.79,18.190000534057617,BULL,39.446546369424595,,5,1|5|8|9|10,,,False
2026-05-11T09:50:00-04:00,738.53,18.190000534057617,BULL,46.60621122226303,,5,1|5|8|9|10,,,False
2026-05-11T09:55:00-04:00,738.65,18.190000534057617,BULL,53.445316371119134,,4,1|5|7|8|9|10,,,False
2026-05-11T10:00:00-04:00,738.6,18.059999465942383,BULL,58.246298934489005,,5,5|7|8|9|10,,,False
2026-05-11T10:05:00-04:00,738.735,18.059999465942383,BULL,63.23138489658504,,5,5|7|8|9|10,,,False
2026-05-11T10:10:00-04:00,738.98,18.059999465942383,BULL,69.46121425960428,,5,5|7|8|9|10,,,False
2026-05-11T10:15:00-04:00,739.49,18.059999465942383,BULL,79.38217476064438,,6,5|8|9|10,,,False
2026-05-11T10:20:00-04:00,739.47,18.059999465942383,BULL,86.87181473665078,,6,5|8|9|10,,,False
2026-05-11T10:25:00-04:00,738.44,18.059999465942383,BULL,82.01273264850215,,6,5|8|9|10,,,False
2026-05-11T10:30:00-04:00,738.43,18.059999465942383,BULL,77.43755301538613,,6,5|8|9|10,,,False
2026-05-11T10:35:00-04:00,738.61,18.059999465942383,BULL,75.06123883879354,,5,5|7|8|9|10,,,False
2026-05-11T10:40:00-04:00,738.97,18.059999465942383,BULL,76.34332899774563,,5,5|7|8|9|10,,,False
2026-05-11T10:45:00-04:00,739.055,18.059999465942383,BULL,77.81960528587888,,6,5|8|9|10,,,False
2026-05-11T10:50:00-04:00,739.79,18.059999465942383,BULL,86.07957817999932,,6,5|8|9|10,,,False
2026-05-11T10:55:00-04:00,739.64,18.059999465942383,BULL,90.83804231929662,,6,5|8|9|10,,,False
2026-05-11T11:00:00-04:00,739.64,17.940000534057617,BULL,94.22058110251328,,6,5|8|9|10,,,False
2026-05-11T11:05:00-04:00,739.65,17.940000534057617,BULL,96.55421018317156,,5,5|7|8|9|10,,,False
2026-05-11T11:10:00-04:00,739.09,17.940000534057617,BULL,92.19553665658395,,6,5|7|8|10,,,False
2026-05-11T11:15:00-04:00,739.48,17.940000534057617,BULL,92.05402934518361,,6,5|8|9|10,,,False
2026-05-11T11:20:00-04:00,739.77,17.940000534057617,BULL,94.36011354196125,,5,5|7|8|9|10,,,False
2026-05-11T11:25:00-04:00,740.09,17.940000534057617,BULL,98.97117918748108,,6,5|8|9|10,,,False
2026-05-11T11:30:00-04:00,739.97,17.940000534057617,BULL,100.96061986870382,,7,5|8|10,,,False
2026-05-11T11:35:00-04:00,740.07,17.940000534057617,BULL,103.02796981729898,,6,5|8|9|10,,,False
2026-05-11T11:40:00-04:00,739.9,17.940000534057617,BULL,102.39221688979114,,7,5|8|10,,,False
2026-05-11T11:45:00-04:00,739.93,17.940000534057617,BULL,101.5786111774446,,6,5|8|9|10,,,False
2026-05-11T11:50:00-04:00,740.19,17.940000534057617,BULL,102.97046530795342,,6,5|8|9|10,,,False
2026-05-11T11:55:00-04:00,740.22,17.940000534057617,BULL,103.82050010150579,,6,5|8|9|10,,,False
2026-05-11T12:00:00-04:00,740.07,18.11000061035156,BULL,102.38338293409015,,7,5|9|10,,,False
2026-05-11T12:05:00-04:00,740.09,18.11000061035156,BULL,100.8089403478607,,6,5|8|9|10,,,False
2026-05-11T12:10:00-04:00,740.13,18.11000061035156,BULL,99.33485670350137,,6,5|8|9|10,,,False
2026-05-11T12:15:00-04:00,740.08,18.11000061035156,BULL,97.03351180229447,,6,5|8|9|10,,,False
2026-05-11T12:20:00-04:00,740.305,18.11000061035156,BULL,96.87156927825527,,6,5|8|9|10,,,False
2026-05-11T12:25:00-04:00,740.32,18.11000061035156,BULL,96.3266394521952,,7,5|8|10,,,False
