c,h,l,n,o,t,v,vw
422.15,422.15,422.15,1,422.15,2021-06-01T12:10:00Z,290,422.15
422.23,422.23,422.23,3,422.23,2021-06-01T12:15:00Z,238,422.23
422.19,422.19,422.19,1,422.19,2021-06-01T13:10:00Z,100,422.19
422.24,422.24,422.24,1,422.24,2021-06-01T13:15:00Z,500,422.24
422.34,422.35,422.34,12,422.35,2021-06-01T13:25:00Z,3000,422.343426
422.42,422.69,422.345,276,422.58,2021-06-01T13:30:00Z,46610,422.529583
421.675,422.44,421.635,188,422.38,2021-06-01T13:35:00Z,47898,421.986667
421.595,421.82,421.55,173,421.74,2021-06-01T13:40:00Z,22792,421.705203
421.33,421.64,421.33,42,421.62,2021-06-01T13:45:00Z,3618,421.528594
421.23,421.38,421.11,65,421.31,2021-06-01T13:50:00Z,6939,421.205643
421.31,421.39,421.045,71,421.23,2021-06-01T13:55:00Z,7654,421.217966
421.12,421.51,421.12,67,421.3,2021-06-01T14:00:00Z,8078,421.390412
421.19,421.255,420.97,58,421.04,2021-06-01T14:05:00Z,4299,421.171531
420.53,421.15,420.53,107,421.15,2021-06-01T14:10:00Z,12933,420.808753
420.33,420.395,420.05,105,420.395,2021-06-01T14:15:00Z,15695,420.198567
420.37,420.37,420.0,102,420.25,2021-06-01T14:20:00Z,13414,420.204122
420.445,420.445,420.17,71,420.355,2021-06-01T14:25:00Z,6285,420.323863
420.59,420.665,420.35,115,420.4,2021-06-01T14:30:00Z,15290,420.502182
420.18,420.635,420.145,89,420.62,2021-06-01T14:35:00Z,8630,420.348872
420.49,420.6,420.34,50,420.34,2021-06-01T14:40:00Z,4626,420.51236
419.88,420.24,419.805,92,420.24,2021-06-01T14:45:00Z,14964,419.905974
419.66,419.95,419.59,53,419.92,2021-06-01T14:50:00Z,8105,419.733432
419.83,419.84,419.465,53,419.68,2021-06-01T14:55:00Z,7276,419.623375
419.76,419.93,419.7,49,419.79,2021-06-01T15:00:00Z,5133,419.823238
419.84,419.86,419.69,19,419.81,2021-06-01T15:05:00Z,1842,419.81375
420.19,420.195,419.87,78,419.87,2021-06-01T15:10:00Z,10483,420.041441
420.17,420.21,420.07,54,420.205,2021-06-01T15:15:00Z,5265,420.170069
420.245,420.305,420.2,143,420.2,2021-06-01T15:20:00Z,23168,420.251273
420.23,420.295,420.195,63,420.245,2021-06-01T15:25:00Z,13068,420.225394
420.115,420.145,419.985,69,420.145,2021-06-01T15:30:00Z,8349,420.072995
420.46,420.46,420.17,70,420.18,2021-06-01T15:35:00Z,5070,420.335213
420.35,420.45,420.33,52,420.44,2021-06-01T15:40:00Z,1915,420.386364
420.24,420.355,420.07,42,420.34,2021-06-01T15:45:00Z,3987,420.178768
420.185,420.28,420.12,25,420.12,2021-06-01T15:50:00Z,1594,420.21125
420.34,420.375,420.225,48,420.275,2021-06-01T15:55:00Z,3552,420.301667
420.16,420.22,420.07,59,420.12,2021-06-01T16:00:00Z,3805,420.147813
419.98,420.18,419.85,37,420.155,2021-06-01T16:05:00Z,2935,420.019667
419.89,419.89,419.84,19,419.89,2021-06-01T16:10:00Z,2281,419.8555
419.825,419.965,419.75,42,419.95,2021-06-01T16:15:00Z,2885,419.846
420.05,420.1,419.81,39,419.9,2021-06-01T16:20:00Z,2179,419.95735
420.0,420.1,420.0,28,420.02,2021-06-01T16:25:00Z,1166,420.0545
419.97,420.0,419.93,38,419.995,2021-06-01T16:30:00Z,2282,419.962333
420.03,420.05,419.95,37,420.0,2021-06-01T16:35:00Z,2863,420.004652
420.14,420.22,419.96,54,419.96,2021-06-01T16:40:00Z,8691,420.180934
420.05,420.18,420.05,92,420.15,2021-06-01T16:45:00Z,7887,420.118363
419.85,419.98,419.745,58,419.93,2021-06-01T16:50:00Z,5276,419.887447
419.8,419.8,419.7,43,419.76,2021-06-01T16:55:00Z,3228,419.736093
419.55,419.81,419.55,61,419.81,2021-06-01T17:00:00Z,5797,419.730253
419.52,419.52,419.31,27,419.36,2021-06-01T17:05:00Z,2468,419.411701
419.41,419.54,419.41,68,419.54,2021-06-01T17:10:00Z,4024,419.476753
419.28,419.4,419.28,57,419.4,2021-06-01T17:15:00Z,15926,419.365568
419.37,419.38,419.22,41,419.3,2021-06-01T17:20:00Z,4662,419.259167
419.32,419.39,419.31,27,419.31,2021-06-01T17:25:00Z,1550,419.338077
419.45,419.45,419.28,27,419.28,2021-06-01T17:30:00Z,2928,419.377046
419.43,419.45,419.37,32,419.42,2021-06-01T17:35:00Z,2215,419.414211
419.29,419.43,419.26,64,419.41,2021-06-01T17:40:00Z,4934,419.322191
419.34,419.43,419.25,54,419.36,2021-06-01T17:45:00Z,5193,419.339029
419.33,419.44,419.315,42,419.38,2021-06-01T17:50:00Z,3161,419.371317
419.62,419.63,419.36,47,419.36,2021-06-01T17:55:00Z,2917,419.55125
419.75,419.77,419.465,61,419.58,2021-06-01T18:00:00Z,6150,419.661909
419.68,419.84,419.665,42,419.755,2021-06-01T18:05:00Z,3466,419.753971
419.67,419.725,419.65,53,419.65,2021-06-01T18:10:00Z,3411,419.681089
419.79,419.8,419.67,47,419.68,2021-06-01T18:15:00Z,4558,419.74125
419.945,419.99,419.8,67,419.8,2021-06-01T18:20:00Z,4142,419.943601
420.02,420.04,419.95,55,419.995,2021-06-01T18:25:00Z,3086,419.996042
420.045,420.09,419.99,55,420.02,2021-06-01T18:30:00Z,4411,420.039163
420.18,420.28,420.09,86,420.09,2021-06-01T18:35:00Z,5268,420.186921
420.24,420.365,420.16,131,420.22,2021-06-01T18:40:00Z,10490,420.301863
420.26,420.29,420.21,64,420.22,2021-06-01T18:45:00Z,3787,420.250763
420.21,420.305,420.19,56,420.27,2021-06-01T18:50:00Z,4572,420.246132
420.32,420.325,420.22,71,420.22,2021-06-01T18:55:00Z,5263,420.276956
420.27,420.32,420.22,81,420.32,2021-06-01T19:00:00Z,9865,420.269727
420.12,420.26,420.05,87,420.26,2021-06-01T19:05:00Z,10892,420.116197
420.04,420.11,419.97,70,420.03,2021-06-01T19:10:00Z,6804,420.028719
419.99,420.05,419.955,84,420.05,2021-06-01T19:15:00Z,5301,419.998466
420.14,420.2,420.0,79,420.0,2021-06-01T19:20:00Z,6348,420.115251
419.87,420.15,419.87,78,420.15,2021-06-01T19:25:00Z,5979,420.000783
419.64,419.875,419.52,130,419.875,2021-06-01T19:30:00Z,13694,419.66605
419.525,419.65,419.485,105,419.615,2021-06-01T19:35:00Z,7634,419.560078
419.545,419.62,419.47,131,419.56,2021-06-01T19:40:00Z,13674,419.512487
419.99,419.99,419.56,154,419.56,2021-06-01T19:45:00Z,18394,419.786243
419.845,419.92,419.59,269,419.92,2021-06-01T19:50:00Z,26025,419.782751
419.63,419.875,419.465,525,419.875,2021-06-01T19:55:00Z,48461,419.620755
419.53,419.53,419.53,1,419.53,2021-06-01T20:00:00Z,100,419.53
419.79,419.89,419.72,7,419.89,2021-06-01T20:10:00Z,3700,419.792703
419.7,419.7,419.7,1,419.7,2021-06-01T20:35:00Z,500,419.7
420.3,420.3,420.3,1,420.3,2021-06-02T13:10:00Z,300,420.3
420.2,420.2,420.2,1,420.2,2021-06-02T13:20:00Z,100,420.2
419.78,420.275,419.75,81,420.27,2021-06-02T13:30:00Z,10139,420.037254
419.57,419.85,419.57,47,419.83,2021-06-02T13:35:00Z,4102,419.669789
419.89,419.98,419.575,28,419.575,2021-06-02T13:40:00Z,4749,419.840179
420.52,420.56,419.96,66,419.96,2021-06-02T13:45:00Z,6161,420.319895
420.47,420.575,420.39,35,420.54,2021-06-02T13:50:00Z,2350,420.462818
420.39,420.63,420.385,65,420.435,2021-06-02T13:55:00Z,7150,420.479373
420.44,420.47,420.245,46,420.375,2021-06-02T14:00:00Z,3458,420.379166
420.5,420.57,420.33,51,420.42,2021-06-02T14:05:00Z,5999,420.492761
420.48,420.63,420.33,57,420.49,2021-06-02T14:10:00Z,5517,420.476996
420.7,420.77,420.505,38,420.505,2021-06-02T14:15:00Z,4474,420.633243
420.88,420.92,420.63,63,420.685,2021-06-02T14:20:00Z,5091,420.689722
420.8,420.97,420.79,109,420.83,2021-06-02T14:25:00Z,10144,420.857346
420.785,420.95,420.785,45,420.89,2021-06-02T14:30:00Z,3085,420.890697
420.69,420.77,420.54,65,420.77,2021-06-02T14:35:00Z,6956,420.660342
420.82,420.9,420.71,75,420.78,2021-06-02T14:40:00Z,7796,420.844497
420.755,420.97,420.7,57,420.85,2021-06-02T14:45:00Z,4902,420.853742
420.62,420.77,420.53,44,420.75,2021-06-02T14:50:00Z,3016,420.657214
420.68,420.7,420.54,34,420.62,2021-06-02T14:55:00Z,3798,420.609423
420.74,420.92,420.525,71,420.7,2021-06-02T15:00:00Z,7607,420.709697
420.81,420.86,420.735,46,420.79,2021-06-02T15:05:00Z,3347,420.801174
421.065,421.09,420.76,63,420.76,2021-06-02T15:10:00Z,9670,421.038738
420.96,421.185,420.91,48,421.12,2021-06-02T15:15:00Z,3062,421.082393
421.01,421.035,420.87,34,421.01,2021-06-02T15:20:00Z,2558,420.951463
421.05,421.08,420.955,37,420.96,2021-06-02T15:25:00Z,3052,421.004804
421.09,421.13,421.03,53,421.11,2021-06-02T15:30:00Z,4000,421.082571
421.0,421.18,420.965,53,421.125,2021-06-02T15:35:00Z,4390,421.073611
421.095,421.095,420.925,23,420.98,2021-06-02T15:40:00Z,1290,420.97
421.04,421.04,421.02,11,421.04,2021-06-02T15:45:00Z,518,421.033333
420.97,421.1,420.97,50,421.06,2021-06-02T15:50:00Z,3511,421.034851
420.83,421.0,420.78,75,420.95,2021-06-02T15:55:00Z,6924,420.876419
420.8,420.88,420.75,28,420.85,2021-06-02T16:00:00Z,2500,420.847078
420.83,420.86,420.765,21,420.81,2021-06-02T16:05:00Z,1187,420.8075
420.77,420.86,420.73,30,420.805,2021-06-02T16:10:00Z,2123,420.797
420.685,420.86,420.665,51,420.85,2021-06-02T16:15:00Z,4093,420.753709
420.5,420.7,420.49,46,420.66,2021-06-02T16:20:00Z,3211,420.6242
420.39,420.52,420.3,53,420.52,2021-06-02T16:25:00Z,6326,420.365596
420.35,420.365,420.19,50,420.365,2021-06-02T16:30:00Z,6043,420.310316
420.36,420.39,420.29,56,420.3,2021-06-02T16:35:00Z,2718,420.322764
420.35,420.35,420.275,34,420.29,2021-06-02T16:40:00Z,2663,420.307809
420.415,420.475,420.36,37,420.41,2021-06-02T16:45:00Z,2113,420.42625
420.425,420.485,420.425,27,420.43,2021-06-02T16:50:00Z,2324,420.442273
420.43,420.49,420.42,36,420.47,2021-06-02T16:55:00Z,4765,420.458687
420.51,420.53,420.43,70,420.47,2021-06-02T17:00:00Z,5260,420.474729
420.45,420.5,420.42,64,420.475,2021-06-02T17:05:00Z,4938,420.465847
420.245,420.495,420.245,58,420.45,2021-06-02T17:10:00Z,4935,420.413913
420.16,420.29,420.15,68,420.28,2021-06-02T17:15:00Z,6233,420.204313
419.7,420.15,419.7,85,420.15,2021-06-02T17:20:00Z,11252,419.850173
419.83,419.85,419.65,60,419.67,2021-06-02T17:25:00Z,4345,419.697297
419.89,419.9,419.77,57,419.77,2021-06-02T17:30:00Z,2681,419.833229
419.94,420.03,419.87,30,419.87,2021-06-02T17:35:00Z,1917,419.956431
419.855,419.91,419.84,50,419.9,2021-06-02T17:40:00Z,2966,419.867114
419.655,419.99,419.58,86,419.85,2021-06-02T17:45:00Z,8805,419.688344
419.76,419.805,419.68,50,419.68,2021-06-02T17:50:00Z,4421,419.758205
419.785,419.795,419.665,46,419.77,2021-06-02T17:55:00Z,3408,419.73535
419.95,420.03,419.79,88,419.805,2021-06-02T18:00:00Z,9489,419.916689
419.56,419.96,419.56,82,419.96,2021-06-02T18:05:00Z,6098,419.821689
419.43,419.59,419.3,68,419.59,2021-06-02T18:10:00Z,4437,419.432076
419.73,419.745,419.41,35,419.41,2021-06-02T18:15:00Z,3875,419.613407
419.855,419.86,419.7,36,419.78,2021-06-02T18:20:00Z,1835,419.783516
419.805,419.92,419.77,52,419.895,2021-06-02T18:25:00Z,3123,419.868941
419.8,419.85,419.74,40,419.77,2021-06-02T18:30:00Z,2218,419.779722
419.81,419.84,419.695,52,419.81,2021-06-02T18:35:00Z,4033,419.757296
419.75,419.87,419.74,65,419.81,2021-06-02T18:40:00Z,7307,419.809931
419.86,419.875,419.755,44,419.79,2021-06-02T18:45:00Z,3163,419.810728
419.78,419.86,419.71,113,419.86,2021-06-02T18:50:00Z,8569,419.781092
419.89,419.92,419.76,193,419.82,2021-06-02T18:55:00Z,27491,419.81976
419.78,419.935,419.71,122,419.88,2021-06-02T19:00:00Z,11940,419.830759
419.86,419.97,419.76,169,419.81,2021-06-02T19:05:00Z,17002,419.887455
419.98,420.05,419.89,132,419.89,2021-06-02T19:10:00Z,13515,419.974017
419.9,420.025,419.89,188,419.98,2021-06-02T19:15:00Z,18772,419.974885
419.83,419.95,419.83,155,419.9,2021-06-02T19:20:00Z,13475,419.89949
419.765,419.875,419.73,154,419.815,2021-06-02T19:25:00Z,18287,419.789286
419.72,419.88,419.695,135,419.75,2021-06-02T19:30:00Z,10016,419.790607
419.75,419.85,419.6,297,419.72,2021-06-02T19:35:00Z,33620,419.782454
419.86,419.88,419.69,371,419.765,2021-06-02T19:40:00Z,33600,419.774398
419.94,419.94,419.765,238,419.85,2021-06-02T19:45:00Z,25005,419.848642
420.035,420.22,419.8,252,419.9,2021-06-02T19:50:00Z,36720,420.001987
420.32,420.46,420.01,519,420.03,2021-06-02T19:55:00Z,53647,420.251918
420.21,420.31,420.21,11,420.31,2021-06-02T20:05:00Z,4500,420.240748
420.22,420.22,420.22,4,420.22,2021-06-02T20:10:00Z,2942,420.22
420.13,420.21,420.13,4,420.21,2021-06-02T20:30:00Z,1600,420.205
420.06,420.06,420.06,1,420.06,2021-06-02T20:35:00Z,500,420.06
417.5,417.5,417.5,4,417.5,2021-06-03T12:20:00Z,400,417.5
417.36,417.36,417.36,1,417.36,2021-06-03T12:30:00Z,119,417.36
417.71,417.71,417.71,1,417.71,2021-06-03T12:55:00Z,500,417.71
417.93,417.93,417.93,1,417.93,2021-06-03T13:05:00Z,100,417.93
417.75,417.75,417.75,2,417.75,2021-06-03T13:10:00Z,1387,417.75
418.08,418.08,418.08,7,418.08,2021-06-03T13:25:00Z,1740,418.08
417.84,418.15,417.67,164,418.05,2021-06-03T13:30:00Z,38187,417.848579
417.27,417.885,417.25,196,417.86,2021-06-03T13:35:00Z,30494,417.493356
416.685,417.36,416.685,198,417.28,2021-06-03T13:40:00Z,24779,417.031469
416.41,417.025,416.33,191,416.65,2021-06-03T13:45:00Z,33440,416.725689
416.98,417.03,416.36,197,416.36,2021-06-03T13:50:00Z,28236,416.638971
417.19,417.4,416.82,134,416.96,2021-06-03T13:55:00Z,21594,417.167624
417.58,417.605,417.03,125,417.08,2021-06-03T14:00:00Z,15609,417.338552
417.84,418.11,417.45,78,417.55,2021-06-03T14:05:00Z,6861,417.675091
418.03,418.16,417.95,79,417.95,2021-06-03T14:10:00Z,10276,418.080426
417.99,418.08,417.63,84,418.07,2021-06-03T14:15:00Z,7602,417.863535
417.95,418.12,417.77,77,417.96,2021-06-03T14:20:00Z,8839,417.930818
417.61,417.97,417.61,39,417.97,2021-06-03T14:25:00Z,5171,417.820545
417.8,417.93,417.56,52,417.58,2021-06-03T14:30:00Z,4801,417.813854
417.4,417.93,417.36,35,417.56,2021-06-03T14:35:00Z,3828,417.607478
417.35,417.39,417.27,44,417.365,2021-06-03T14:40:00Z,5105,417.33392
418.36,418.44,417.27,69,417.35,2021-06-03T14:45:00Z,11003,417.927778
418.65,418.75,418.4,128,418.44,2021-06-03T14:50:00Z,15290,418.586429
419.3,419.34,418.63,119,418.63,2021-06-03T14:55:00Z,16702,418.981558
419.69,419.695,419.16,222,419.34,2021-06-03T15:00:00Z,32796,419.479349
419.91,419.98,419.72,213,419.72,2021-06-03T15:05:00Z,42711,419.859662
419.695,419.99,419.67,93,419.95,2021-06-03T15:10:00Z,8526,419.785153
419.4,419.73,419.375,97,419.73,2021-06-03T15:15:00Z,12315,419.527641
419.54,419.64,419.29,111,419.41,2021-06-03T15:20:00Z,11203,419.431869
419.68,419.81,419.5,103,419.585,2021-06-03T15:25:00Z,14855,419.704177
419.3,419.74,419.28,47,419.74,2021-06-03T15:30:00Z,5445,419.462019
419.21,419.44,419.13,77,419.245,2021-06-03T15:35:00Z,6183,419.287074
419.46,419.46,419.13,44,419.23,2021-06-03T15:40:00Z,4737,419.31213
419.14,419.5,419.08,37,419.49,2021-06-03T15:45:00Z,2874,419.3638
419.23,419.26,419.08,65,419.2,2021-06-03T15:50:00Z,11217,419.131859
419.37,419.37,419.18,35,419.28,2021-06-03T15:55:00Z,2744,419.31
419.375,419.59,419.33,32,419.415,2021-06-03T16:00:00Z,3061,419.41662
419.61,419.63,419.35,22,419.445,2021-06-03T16:05:00Z,1728,419.451613
419.445,419.54,419.41,42,419.51,2021-06-03T16:10:00Z,3553,419.482116
419.26,419.46,419.26,58,419.42,2021-06-03T16:15:00Z,5332,419.355878
419.08,419.24,418.95,43,419.24,2021-06-03T16:20:00Z,3708,419.053587
419.32,419.34,418.985,52,419.045,2021-06-03T16:25:00Z,4890,419.106685
419.22,419.41,419.13,70,419.28,2021-06-03T16:30:00Z,4709,419.251511
419.54,419.54,419.26,36,419.265,2021-06-03T16:35:00Z,4310,419.372091
419.69,419.7,419.57,58,419.57,2021-06-03T16:40:00Z,6800,419.645427
419.515,419.745,419.51,41,419.72,2021-06-03T16:45:00Z,3250,419.601477
419.29,419.54,419.24,90,419.52,2021-06-03T16:50:00Z,8492,419.394272
419.565,419.565,419.31,32,419.32,2021-06-03T16:55:00Z,2810,419.376481
419.48,419.55,419.395,38,419.55,2021-06-03T17:00:00Z,4829,419.455938
419.41,419.51,419.0,49,419.39,2021-06-03T17:05:00Z,6608,419.294309
419.26,419.555,419.23,43,419.495,2021-06-03T17:10:00Z,4051,419.37125
419.45,419.465,419.24,53,419.24,2021-06-03T17:15:00Z,5492,419.366307
419.735,419.75,419.5,30,419.52,2021-06-03T17:20:00Z,3510,419.661009
419.8,419.8,419.73,34,419.735,2021-06-03T17:25:00Z,3078,419.766221
419.81,419.885,419.69,84,419.77,2021-06-03T17:30:00Z,18261,419.804493
419.81,419.845,419.75,46,419.785,2021-06-03T17:35:00Z,4243,419.772763
419.49,419.88,419.49,32,419.805,2021-06-03T17:40:00Z,3563,419.685312
419.455,419.66,419.455,45,419.565,2021-06-03T17:45:00Z,7841,419.526413
419.58,419.63,419.54,22,419.565,2021-06-03T17:50:00Z,3363,419.591818
419.56,419.615,419.555,13,419.6,2021-06-03T17:55:00Z,1853,419.574588
419.545,419.545,419.37,25,419.51,2021-06-03T18:00:00Z,2094,419.467281
419.445,419.61,419.4,27,419.56,2021-06-03T18:05:00Z,3009,419.479477
419.365,419.41,419.36,29,419.41,2021-06-03T18:10:00Z,2030,419.386944
419.19,419.34,419.055,41,419.34,2021-06-03T18:15:00Z,4349,419.165781
419.17,419.225,419.16,38,419.16,2021-06-03T18:20:00Z,3038,419.195956
419.14,419.18,419.08,26,419.08,2021-06-03T18:25:00Z,1951,419.121
419.12,419.27,419.085,34,419.19,2021-06-03T18:30:00Z,2973,419.163394
418.97,419.135,418.9,41,419.07,2021-06-03T18:35:00Z,2573,419.030706
418.96,419.07,418.85,39,418.945,2021-06-03T18:40:00Z,3887,418.971573
419.07,419.07,418.89,49,419.005,2021-06-03T18:45:00Z,4207,418.967388
418.96,419.03,418.93,59,419.01,2021-06-03T18:50:00Z,3424,418.9771
418.77,419.06,418.75,90,419.03,2021-06-03T18:55:00Z,5164,418.93992
418.9,419.04,418.745,90,418.745,2021-06-03T19:00:00Z,8718,418.942731
418.91,418.91,418.76,85,418.85,2021-06-03T19:05:00Z,9002,418.815273
419.135,419.135,418.85,38,418.89,2021-06-03T19:10:00Z,3380,418.970628
419.0,419.18,418.97,54,419.06,2021-06-03T19:15:00Z,4263,419.082105
419.04,419.09,418.78,39,418.78,2021-06-03T19:20:00Z,3172,418.981207
419.17,419.18,418.88,51,419.075,2021-06-03T19:25:00Z,6194,419.002917
419.25,419.25,419.075,55,419.2,2021-06-03T19:30:00Z,3538,419.190414
419.415,419.415,419.2,54,419.205,2021-06-03T19:35:00Z,5709,419.332815
419.07,419.445,419.04,163,419.415,2021-06-03T19:40:00Z,22966,419.212728
418.86,419.065,418.78,128,419.055,2021-06-03T19:45:00Z,12346,418.898683
418.77,419.08,418.745,140,418.85,2021-06-03T19:50:00Z,9565,418.860242
418.77,419.02,418.74,641,418.775,2021-06-03T19:55:00Z,70364,418.915943
418.75,418.75,418.62,7,418.65,2021-06-03T20:00:00Z,3400,418.695588
418.67,418.72,418.67,4,418.72,2021-06-03T20:05:00Z,2000,418.69
418.65,418.7,418.65,4,418.7,2021-06-03T20:10:00Z,1100,418.672727
420.35,420.38,419.47,6,419.47,2021-06-04T12:30:00Z,1510,420.244417
419.82,420.46,419.82,8,420.44,2021-06-04T12:35:00Z,3700,420.096216
420.25,420.44,420.25,3,420.41,2021-06-04T12:45:00Z,1500,420.366667
420.5,420.5,420.5,1,420.5,2021-06-04T12:50:00Z,800,420.5
420.88,421.18,420.72,116,420.77,2021-06-04T13:30:00Z,13642,420.90822
421.25,421.25,420.99,76,420.995,2021-06-04T13:35:00Z,11555,421.111154
421.37,421.5,421.24,97,421.35,2021-06-04T13:40:00Z,11139,421.369609
421.18,421.49,421.155,65,421.37,2021-06-04T13:45:00Z,7390,421.278343
420.96,421.27,420.96,95,421.23,2021-06-04T13:50:00Z,17492,421.171602
421.245,421.28,420.98,72,420.99,2021-06-04T13:55:00Z,7535,421.18076
421.505,421.62,421.275,184,421.295,2021-06-04T14:00:00Z,26263,421.442925
421.44,421.545,421.415,99,421.45,2021-06-04T14:05:00Z,11550,421.473095
421.53,421.59,421.465,74,421.465,2021-06-04T14:10:00Z,7365,421.543864
421.41,421.645,421.39,115,421.52,2021-06-04T14:15:00Z,12711,421.571432
421.495,421.525,421.28,82,421.435,2021-06-04T14:20:00Z,5874,421.398977
421.39,421.53,421.24,104,421.51,2021-06-04T14:25:00Z,8712,421.354066
421.4,421.5,421.33,49,421.365,2021-06-04T14:30:00Z,4702,421.404212
421.475,421.54,421.36,59,421.395,2021-06-04T14:35:00Z,6744,421.497791
421.47,421.75,421.37,63,421.5,2021-06-04T14:40:00Z,6297,421.577119
421.73,421.85,421.41,72,421.41,2021-06-04T14:45:00Z,6295,421.673344
421.76,421.76,421.695,32,421.74,2021-06-04T14:50:00Z,1944,421.737096
421.74,421.82,421.71,51,421.78,2021-06-04T14:55:00Z,3715,421.759513
421.805,421.83,421.69,91,421.755,2021-06-04T15:00:00Z,6670,421.752462
421.85,421.96,421.81,82,421.82,2021-06-04T15:05:00Z,8483,421.876335
421.84,421.935,421.835,44,421.87,2021-06-04T15:10:00Z,3982,421.866571
421.88,421.92,421.865,53,421.87,2021-06-04T15:15:00Z,3311,421.891492
421.93,421.98,421.89,104,421.91,2021-06-04T15:20:00Z,11814,421.926946
421.89,422.015,421.71,67,421.95,2021-06-04T15:25:00Z,6566,421.903254
421.79,421.905,421.79,78,421.89,2021-06-04T15:30:00Z,5526,421.833625
421.69,421.83,421.62,83,421.815,2021-06-04T15:35:00Z,6753,421.731304
421.79,421.8,421.65,81,421.73,2021-06-04T15:40:00Z,5612,421.6996
421.64,421.77,421.56,77,421.74,2021-06-04T15:45:00Z,5998,421.658294
421.51,421.67,421.495,79,421.62,2021-06-04T15:50:00Z,7176,421.588086
421.6,421.6,421.48,99,421.525,2021-06-04T15:55:00Z,8077,421.527286
421.52,421.62,421.52,60,421.6,2021-06-04T16:00:00Z,6239,421.585007
421.55,421.55,421.47,45,421.52,2021-06-04T16:05:00Z,3220,421.529425
421.72,421.725,421.59,76,421.605,2021-06-04T16:10:00Z,4452,421.656323
421.65,421.7,421.605,41,421.7,2021-06-04T16:15:00Z,1810,421.65
421.685,421.69,421.6,78,421.625,2021-06-04T16:20:00Z,5426,421.648505
421.67,421.715,421.67,51,421.675,2021-06-04T16:25:00Z,2545,421.683809
421.79,421.79,421.63,84,421.63,2021-06-04T16:30:00Z,7593,421.747579
421.84,421.87,421.79,69,421.8,2021-06-04T16:35:00Z,5224,421.836228
421.81,421.865,421.76,57,421.83,2021-06-04T16:40:00Z,3933,421.803823
421.81,421.81,421.72,63,421.75,2021-06-04T16:45:00Z,5159,421.76816
421.8,421.865,421.79,48,421.81,2021-06-04T16:50:00Z,3335,421.813393
421.89,421.89,421.785,37,421.84,2021-06-04T16:55:00Z,2834,421.830555
421.91,422.0,421.88,104,421.9,2021-06-04T17:00:00Z,7787,421.935306
421.96,421.96,421.895,59,421.91,2021-06-04T17:05:00Z,5564,421.917448
421.96,422.01,421.96,104,421.99,2021-06-04T17:10:00Z,6466,421.990189
421.96,422.02,421.91,114,421.95,2021-06-04T17:15:00Z,6948,421.967271
421.84,421.98,421.79,63,421.97,2021-06-04T17:20:00Z,4245,421.873084
421.85,421.88,421.84,73,421.845,2021-06-04T17:25:00Z,6106,421.859827
421.99,421.99,421.835,93,421.84,2021-06-04T17:30:00Z,7496,421.903874
421.96,422.0,421.92,89,421.995,2021-06-04T17:35:00Z,7952,421.956666
422.125,422.17,421.98,99,421.98,2021-06-04T17:40:00Z,8103,422.08842
422.13,422.16,422.075,104,422.12,2021-06-04T17:45:00Z,6311,422.10624
422.15,422.16,422.08,73,422.135,2021-06-04T17:50:00Z,5085,422.122078
422.16,422.2,422.11,100,422.17,2021-06-04T17:55:00Z,6025,422.154754
422.26,422.28,422.16,139,422.16,2021-06-04T18:00:00Z,14518,422.237495
422.33,422.345,422.255,130,422.26,2021-06-04T18:05:00Z,10700,422.314634
422.29,422.355,422.27,89,422.355,2021-06-04T18:10:00Z,5832,422.3245
422.34,422.36,422.22,124,422.28,2021-06-04T18:15:00Z,9071,422.306495
422.32,422.39,422.315,174,422.345,2021-06-04T18:20:00Z,13565,422.352023
422.415,422.415,422.32,161,422.32,2021-06-04T18:25:00Z,10717,422.368165
422.53,422.6,422.4,303,422.42,2021-06-04T18:30:00Z,25563,422.524154
422.6,422.63,422.49,181,422.52,2021-06-04T18:35:00Z,16985,422.560606
422.63,422.63,422.54,212,422.59,2021-06-04T18:40:00Z,20240,422.584442
422.6,422.635,422.54,330,422.63,2021-06-04T18:45:00Z,30159,422.597472
422.56,422.59,422.48,205,422.56,2021-06-04T18:50:00Z,13187,422.5354
422.48,422.57,422.465,245,422.56,2021-06-04T18:55:00Z,20583,422.536431
422.46,422.53,422.41,201,422.49,2021-06-04T19:00:00Z,16410,422.465548
422.39,422.49,422.38,173,422.45,2021-06-04T19:05:00Z,22712,422.429844
422.38,422.48,422.36,197,422.46,2021-06-04T19:10:00Z,16213,422.4179
422.46,422.47,422.34,183,422.365,2021-06-04T19:15:00Z,14530,422.389586
422.46,422.505,422.42,304,422.45,2021-06-04T19:20:00Z,25740,422.474526
422.47,422.49,422.38,254,422.48,2021-06-04T19:25:00Z,23080,422.431899
422.46,422.48,422.36,324,422.47,2021-06-04T19:30:00Z,25256,422.420898
422.43,422.53,422.41,365,422.48,2021-06-04T19:35:00Z,30501,422.474297
422.62,422.63,422.37,459,422.42,2021-06-04T19:40:00Z,39094,422.463175
422.705,422.74,422.59,352,422.62,2021-06-04T19:45:00Z,27114,422.657293
422.82,422.915,422.66,266,422.72,2021-06-04T19:50:00Z,21800,422.776284
422.59,422.815,422.465,547,422.81,2021-06-04T19:55:00Z,54286,422.596568
422.41,422.41,422.41,4,422.41,2021-06-04T20:00:00Z,3861,422.41
422.35,422.36,422.22,8,422.22,2021-06-04T20:05:00Z,6000,422.273523
422.31,422.37,422.31,9,422.37,2021-06-04T20:10:00Z,3303,422.324597
