date,open,close
2021-06-01,17.239999771118164,17.899999618530273
2021-06-02,17.860000610351562,17.479999542236328
2021-06-03,17.729999542236328,18.040000915527344
2021-06-04,18.09000015258789,16.420000076293945
2021-06-07,17.34000015258789,16.420000076293945
2021-06-08,16.579999923706055,17.06999969482422
2021-06-09,17.18000030517578,17.889999389648438
2021-06-10,18.18000030517578,16.100000381469727
2021-06-11,16.18000030517578,15.649999618530273
2021-06-14,16.040000915527344,16.389999389648438
2021-06-15,16.270000457763672,17.020000457763672
2021-06-16,16.989999771118164,18.149999618530273
2021-06-17,18.489999771118164,17.75
2021-06-18,16.959999084472656,20.700000762939453
2021-06-21,21.739999771118164,17.889999389648438
2021-06-22,17.90999984741211,16.65999984741211
2021-06-23,16.25,16.31999969482422
2021-06-24,15.989999771118164,15.970000267028809
2021-06-25,16.040000915527344,15.619999885559082
2021-06-28,16.06999969482422,15.760000228881836
2021-06-29,15.6899995803833,16.020000457763672
2021-06-30,16.18000030517578,15.829999923706055
2021-07-01,15.619999885559082,15.479999542236328
2021-07-02,15.529999732971191,15.069999694824219
2021-07-06,15.770000457763672,16.440000534057617
2021-07-07,16.43000030517578,16.200000762939453
2021-07-08,17.739999771118164,19.0
2021-07-09,17.8799991607666,16.18000030517578
2021-07-12,16.850000381469727,16.170000076293945
2021-07-13,16.389999389648438,17.1200008392334
2021-07-14,17.34000015258789,16.329999923706055
2021-07-15,16.700000762939453,17.010000228881836
2021-07-16,16.799999237060547,18.450000762939453
2021-07-19,19.610000610351562,22.5
2021-07-20,20.889999389648438,19.729999542236328
2021-07-21,19.729999542236328,17.90999984741211
2021-07-22,17.59000015258789,17.690000534057617
2021-07-23,16.979999542236328,17.200000762939453
2021-07-26,18.670000076293945,17.579999923706055
2021-07-27,18.6200008392334,19.360000610351562
2021-07-28,19.40999984741211,18.309999465942383
2021-07-29,17.90999984741211,17.700000762939453
2021-07-30,19.690000534057617,18.239999771118164
2021-08-02,18.15999984741211,19.459999084472656
2021-08-03,19.170000076293945,18.040000915527344
2021-08-04,18.229999542236328,17.969999313354492
2021-08-05,17.729999542236328,17.280000686645508
2021-08-06,17.459999084472656,16.149999618530273
