bar_idx,timestamp_et,direction,side,trendline_slope_per_hour,trendline_price_at_break,break_bar_close,retest_bar_idx,retest_level,retest_bar_low,retest_bar_high,retest_bar_close
89,2026-04-09 10:25:00-04:00,ascending,C,0.08820764342350745,674.5034990453008,674.5798950195312,89,673.9,673.9299926757812,674.5900268554688,674.2949829101562
99,2026-04-09 11:15:00-04:00,descending,C,-0.23193359375,675.4420166015625,675.7000122070312,99,675.7999877929688,675.7000122070312,676.469970703125,676.4199829101562
107,2026-04-09 11:55:00-04:00,ascending,C,0.15,678.077490234375,678.5349731445312,107,678.5499877929688,678.5,678.9000244140625,678.8300170898438
179,2026-04-10 11:25:00-04:00,ascending,C,0.1036376953125,681.8423156738281,681.9500122070312,179,681.1599731445312,681.1500244140625,681.9500122070312,681.239990234375
202,2026-04-10 13:20:00-04:00,descending,C,-1.09801025390625,679.0119750976562,679.0999755859375,202,678.5,678.5900268554688,679.0399780273438,678.8200073242188
358,2026-04-14 13:20:00-04:00,ascending,C,0.4975827395260989,693.521724267757,693.6950073242188,358,693.739990234375,693.6699829101562,694.0599975585938,693.9099731445312
421,2026-04-15 12:05:00-04:00,ascending,P,0.9709250710227273,697.2245594371449,697.010009765625,421,697.5599975585938,696.9299926757812,697.469970703125,697.4299926757812
487,2026-04-16 11:05:00-04:00,ascending,C,0.14842006138392858,700.307878766741,700.5399780273438,487,700.280029296875,700.3099975585938,701.1300048828125,700.97998046875
510,2026-04-16 13:00:00-04:00,ascending,P,0.15999857584635416,700.886637793647,700.8099975585938,510,700.85,700.469970703125,700.8900146484375,700.5999755859375
519,2026-04-16 13:45:00-04:00,ascending,C,0.6367581275201613,700.8648090977823,700.989990234375,519,701.2,701.1699829101562,701.530029296875,701.4749755859375
553,2026-04-17 10:05:00-04:00,ascending,C,0.42362940588662795,708.6778734783794,708.85498046875,553,708.79,708.7899780273438,709.1593017578125,709.1400146484375
573,2026-04-17 11:45:00-04:00,ascending,P,0.39940681079826734,710.4945624323175,710.4349975585938,573,711.3499755859375,710.4299926757812,711.25,710.7999877929688
658,2026-04-20 12:20:00-04:00,descending,C,-1.0685686383928572,707.5056937081473,707.5900268554688,658,707.5,707.4199829101562,707.780029296875,707.6099853515625
752,2026-04-21 13:40:00-04:00,descending,C,-1.3155653211805556,705.1777411566841,705.25,752,706.14,706.1900024414062,707.4099731445312,706.5
800,2026-04-22 11:10:00-04:00,ascending,C,0.14106393367686168,709.5355588223072,709.864990234375,800,709.74,709.75,710.1679077148438,709.8400268554688
811,2026-04-22 12:05:00-04:00,ascending,C,0.1411023370150862,709.6658243113551,709.8900146484375,811,709.74,709.8300170898438,710.1199951171875,709.969970703125
821,2026-04-22 12:55:00-04:00,descending,C,-0.07595890126329786,709.2621135305851,709.375,821,708.75,708.7999877929688,709.2700805664062,708.8900146484375
831,2026-04-22 13:45:00-04:00,descending,C,-0.15690730168269232,710.176987868089,710.22998046875,831,709.74,709.8200073242188,710.4199829101562,710.1900024414062
886,2026-04-23 11:50:00-04:00,ascending,P,0.08474288823950382,711.5063853955451,711.239990234375,886,711.2,710.7100219726562,711.2449951171875,710.780029296875
973,2026-04-24 12:35:00-04:00,ascending,C,2.0228445870535716,713.4957013811384,713.7050170898438,973,713.38,713.3599853515625,713.72998046875,713.469970703125
981,2026-04-24 13:15:00-04:00,ascending,P,1.0702663112331081,713.3851087415541,713.3300170898438,981,713.38,713.0399780273438,713.3699951171875,713.0750122070312
990,2026-04-24 14:00:00-04:00,ascending,C,0.29296875,713.453857421875,713.8800048828125,990,713.38,713.47998046875,713.7899780273438,713.594970703125
1049,2026-04-27 12:25:00-04:00,descending,P,-0.166259765625,713.9659423828125,713.7899780273438,1049,713.97998046875,713.7899780273438,714.0090942382812,713.8599853515625
1059,2026-04-27 13:15:00-04:00,descending,C,-0.07000732421875,714.2691599527994,714.3400268554688,1059,713.97998046875,713.8800048828125,714.4099731445312,714.135009765625
1191,2026-04-29 11:15:00-04:00,descending,P,-0.05622234211101399,710.9544267987872,710.6199951171875,1191,710.786,710.10498046875,710.869873046875,710.6699829101562
1255,2026-04-30 10:05:00-04:00,ascending,C,0.07541257525802753,711.4751497321173,711.8699951171875,1255,710.780029296875,710.7000122070312,712.1300048828125,711.1799926757812
1264,2026-04-30 10:50:00-04:00,ascending,C,0.07541257525802753,711.5254247822893,712.239990234375,1264,712.6,712.6799926757812,713.9000244140625,713.6900024414062
1284,2026-04-30 12:30:00-04:00,ascending,P,1.4159912109375001,715.2259887695312,714.9290771484375,1284,715.3900146484375,715.02001953125,715.3300170898438,715.0499877929688
1569,2026-05-06 10:15:00-04:00,ascending,C,0.317138671875,729.8063354492188,730.0800170898438,1569,729.5,729.5700073242188,730.260009765625,729.739990234375
1586,2026-05-06 11:40:00-04:00,ascending,P,2.2874908447265625,732.1425018310547,731.969970703125,1586,731.7,730.9400024414062,731.7100219726562,731.3300170898438
1597,2026-05-06 12:35:00-04:00,ascending,P,0.3634524997189748,731.8343205074613,731.77001953125,1597,731.7,731.47998046875,731.7603759765625,731.6701049804688
1612,2026-05-06 13:50:00-04:00,descending,C,-0.3221114309210526,731.6473485043174,731.8800048828125,1612,731.7,731.7999877929688,732.0499877929688,731.97998046875
