timestamp_et,spy_close,vix,ribbon_stack,ribbon_spread_cents,htf_15m_stack,bear_score,blockers,triggers_fired,rejection_level,passed
2026-02-17T13:45:00-04:00,680.355,20.8799991607666,BULL,114.36145361631134,,5,5|7|8|9|10,,,False
2026-02-17T13:50:00-04:00,679.465,20.8799991607666,BULL,92.0621558207813,,6,5|7|8|10,,,False
2026-02-17T13:55:00-04:00,681.03,20.8799991607666,BULL,89.16120453803842,,5,5|7|8|9|10,,,False
2026-02-17T14:00:00-04:00,680.72,20.049999237060547,MIXED,83.36487237378378,,5,1|5|7|8|10,,,False
2026-02-17T14:05:00-04:00,680.48,20.049999237060547,MIXED,77.53092443340392,,5,1|5|8|9|10,,,False
2026-02-17T14:10:00-04:00,680.315,20.049999237060547,MIXED,71.26869002282774,,4,1|5|7|8|9|10,,,False
2026-02-17T14:15:00-04:00,680.315,20.049999237060547,MIXED,65.55707671986966,,4,1|5|7|8|9|10,,,False
2026-02-17T14:20:00-04:00,682.06,20.049999237060547,BULL,70.35300271252254,,5,1|5|8|9|10,,,False
2026-02-17T14:25:00-04:00,682.33,20.049999237060547,BULL,81.9929796488168,,5,1|5|8|9|10,,,False
2026-02-17T14:30:00-04:00,682.73,20.049999237060547,BULL,95.16641270054151,,5,1|5|8|9|10,,,False
2026-02-17T14:35:00-04:00,683.29,20.049999237060547,BULL,111.15642813840623,,5,1|5|8|9|10,,,False
2026-02-17T14:40:00-04:00,683.575,20.049999237060547,BULL,126.5627590340273,,5,1|5|8|9|10,,,False
2026-02-17T14:45:00-04:00,683.86,20.049999237060547,BULL,141.39937651069658,,5,1|5|8|9|10,,,False
2026-02-17T14:50:00-04:00,684.29,20.049999237060547,BULL,157.16068081216008,,5,1|5|8|9|10,,,False
2026-02-17T14:55:00-04:00,684.08,20.049999237060547,BULL,167.05970836723054,,6,1|5|8|10,,,False
2026-02-17T15:00:00-04:00,684.37,19.96999931335449,BULL,177.18334205176234,,5,5|7|8|9|10,,,False
2026-02-17T15:05:00-04:00,683.89,19.96999931335449,BULL,179.57546454427984,,6,5|7|8|10,,,False
2026-02-17T15:10:00-04:00,684.185,19.96999931335449,BULL,183.5052826603146,,5,5|7|8|9|10,,,False
2026-02-17T15:15:00-04:00,683.95,19.96999931335449,BULL,183.26825100843962,,6,5|7|8|10,,,False
2026-02-17T15:20:00-04:00,684.57,19.96999931335449,BULL,188.33128474650493,,6,5|8|9|10,,,False
2026-02-17T15:25:00-04:00,683.9,19.96999931335449,BULL,184.5590192789814,,7,5|8|10,,,False
2026-02-17T15:30:00-04:00,684.56,19.96999931335449,BULL,187.11617117286323,,6,5|8|9|10,,,False
2026-02-17T15:35:00-04:00,684.52,19.96999931335449,BULL,187.71933295632834,,6,5|8|9|10,,,False
2026-02-17T15:40:00-04:00,684.71,19.96999931335449,BULL,189.0594290409581,,5,5|7|8|9|10,,,False
2026-02-17T15:45:00-04:00,684.375,19.96999931335449,BULL,185.64044431145703,,5,5|7|8|9|10,,,False
2026-02-18T09:55:00-04:00,683.83,20.01000022888184,BULL,157.56709133527238,,5,1|5|8|9|10,,,False
2026-02-18T10:00:00-04:00,684.03,19.3799991607666,BULL,152.22812254862674,,6,5|8|9|10,,,False
2026-02-18T10:30:00-04:00,683.44,19.3799991607666,BULL,140.93061396866915,,8,5|8,level_rejection,684.0,False
2026-02-18T10:35:00-04:00,684.27,19.3799991607666,BULL,139.28991820338297,,6,5|8|9|10,,,False
2026-02-18T10:40:00-04:00,685.0,19.3799991607666,BULL,144.57780146223058,,6,5|7|8|9,level_rejection,685.34,False
2026-02-18T10:45:00-04:00,683.715,19.3799991607666,BULL,134.97000984729084,,8,5|8,level_rejection|confluence,684.92,False
2026-02-18T10:50:00-04:00,685.27,19.3799991607666,BULL,142.15124233966208,,6,5|7|8|9,level_rejection,685.34,False
2026-02-18T10:55:00-04:00,686.09,19.3799991607666,BULL,155.5938227425031,,5,5|7|8|9|10,,,False
2026-02-18T11:00:00-04:00,687.56,18.65999984741211,BULL,180.73848754751225,,6,5|8|9|10,,,False
2026-02-18T11:05:00-04:00,687.47,18.65999984741211,BULL,199.43912457350734,,8,5|8,level_rejection,688.0,False
2026-02-18T11:10:00-04:00,687.78,18.65999984741211,BULL,216.81434729124476,,5,5|7|8|9|10,,,False
2026-02-18T11:15:00-04:00,687.89,18.65999984741211,BULL,230.95774120325814,,6,5|7|8|9,level_rejection,688.0,False
2026-02-18T11:20:00-04:00,687.68,18.65999984741211,BULL,239.09628814431017,,8,5|8,level_rejection,688.0,False
2026-02-18T11:25:00-04:00,687.85,18.65999984741211,BULL,246.1280014419458,,6,5|7|8|9,level_rejection|sequence_rejection,688.0,False
2026-02-18T11:30:00-04:00,687.35,18.65999984741211,BULL,245.37198729340162,,6,5|7|8|10,,,False
2026-02-18T11:35:00-04:00,688.055,18.65999984741211,BULL,250.51356174100192,,5,5|7|8|9|10,,,False
2026-02-18T11:40:00-04:00,688.25,18.65999984741211,BULL,255.26982083936218,,5,5|7|8|9|10,,,False
2026-02-18T11:45:00-04:00,688.37,18.65999984741211,BULL,258.9162506471098,,6,5|8|9|10,,,False
2026-02-18T11:50:00-04:00,688.42,18.65999984741211,BULL,260.91467835699405,,6,5|8|9|10,,,False
2026-02-18T11:55:00-04:00,688.515,18.65999984741211,BULL,262.00571992397954,,6,5|8|9|10,,,False
2026-02-18T12:00:00-04:00,688.56,19.030000686645508,BULL,261.83418138766683,,7,5|9|10,,,False
2026-02-18T12:05:00-04:00,688.355,19.030000686645508,BULL,258.0745830494152,,7,5|8|10,,,False
2026-02-18T12:10:00-04:00,688.42,19.030000686645508,BULL,254.14205856695844,,5,5|7|8|9|10,,,False
2026-02-18T12:15:00-04:00,688.2,19.030000686645508,BULL,247.18212847602672,,5,5|7|8|9|10,,,False
2026-02-18T12:20:00-04:00,688.33,19.030000686645508,BULL,241.34520561133286,,5,5|7|8|9|10,,,False
2026-02-18T12:25:00-04:00,688.2,19.030000686645508,BULL,233.8125447977177,,5,5|7|8|9|10,,,False
2026-02-18T12:30:00-04:00,688.45,19.030000686645508,BULL,228.8071936635106,,5,5|7|8|9|10,,,False
2026-02-18T12:35:00-04:00,688.54,19.030000686645508,BULL,224.2762216309302,,5,5|7|8|9|10,,,False
2026-02-18T12:40:00-04:00,688.33,19.030000686645508,BULL,217.10045907569793,,6,5|8|9|10,,,False
2026-02-18T12:45:00-04:00,688.06,19.030000686645508,BULL,207.17985861293755,,6,5|8|9|10,,,False
2026-02-18T12:50:00-04:00,687.67,19.030000686645508,BULL,193.83592552918572,,8,5|8,level_rejection,688.0,False
2026-02-18T12:55:00-04:00,687.55,19.030000686645508,BULL,180.5103833114572,,7,5|8|10,,,False
2026-02-18T13:00:00-04:00,688.155,18.63999938964844,BULL,174.67562041928204,,5,5|7|8|9|10,,,False
2026-02-18T13:05:00-04:00,688.49,18.63999938964844,BULL,172.27837733930755,,5,5|7|8|9|10,,,False
2026-02-18T13:10:00-04:00,688.21,18.63999938964844,BULL,166.4457846185087,,7,5|8|10,,,False
2026-02-18T13:15:00-04:00,688.6,18.63999938964844,BULL,164.65953763162133,,6,5|8|9|10,,,False
2026-02-18T13:20:00-04:00,688.455,18.63999938964844,BULL,160.75125563288566,,6,5|8|9|10,,,False
2026-02-18T13:25:00-04:00,688.23,18.63999938964844,BULL,154.30478905881273,,7,5|8|10,,,False
2026-02-18T13:30:00-04:00,687.975,18.63999938964844,BULL,145.50300144363746,,8,5|8,level_rejection,688.0,False
2026-02-18T13:35:00-04:00,688.24,18.63999938964844,BULL,140.12221394984863,,6,5|8|9|10,,,False
2026-02-18T13:40:00-04:00,688.03,18.63999938964844,BULL,132.7384632176404,,6,5|8|9|10,,,False
2026-02-18T13:45:00-04:00,688.18,18.63999938964844,BULL,127.42448469603005,,5,5|7|8|9|10,,,False
2026-02-18T13:50:00-04:00,688.61,18.63999938964844,BULL,126.70031293949933,,5,5|7|8|9|10,,,False
2026-02-18T13:55:00-04:00,688.5,18.63999938964844,BULL,124.24370343157989,,6,5|8|9|10,,,False
2026-02-18T14:00:00-04:00,688.74,19.31999969482422,BULL,123.94851017181736,,7,1|5|9,level_rejection,689.0,False
2026-02-18T14:05:00-04:00,688.49,19.31999969482422,BULL,120.4320625928176,,5,1|5|8|9|10,,,False
2026-02-18T14:10:00-04:00,688.46,19.31999969482422,BULL,116.53263885384604,,5,1|5|8|9|10,,,False
2026-02-18T14:15:00-04:00,688.5,19.31999969482422,BULL,113.05537129672985,,6,1|5|8|10,,,False
2026-02-18T14:20:00-04:00,688.12,19.31999969482422,BULL,105.6597439098482,,6,1|5|8|10,,,False
2026-02-18T14:25:00-04:00,687.795,19.31999969482422,BULL,95.646955539803,,7,1|5|8,level_rejection,688.0,False
2026-02-18T14:30:00-04:00,687.75,19.31999969482422,BULL,86.39797527325754,,6,1|5|8|10,,,False
2026-02-18T14:35:00-04:00,687.64,19.31999969482422,MIXED,77.42787056785119,,7,1|5|8,level_rejection,688.0,False
2026-02-18T14:40:00-04:00,687.09,19.31999969482422,MIXED,68.65269344352782,,6,1|5|8|10,,,False
2026-02-18T14:45:00-04:00,687.18,19.31999969482422,MIXED,61.260230911170765,,4,1|5|7|8|9|10,,,False
2026-02-18T14:50:00-04:00,687.005,19.31999969482422,MIXED,53.65429314146013,,6,1|5|8|10,,,False
2026-02-18T14:55:00-04:00,686.965,19.31999969482422,MIXED,46.62735475376394,,5,1|5|7|8|9,level_rejection,687.0,False
2026-02-18T15:00:00-04:00,687.27,20.100000381469727,MIXED,42.00775766997822,,6,5|7|9|10,,,False
2026-02-18T15:05:00-04:00,686.7,20.100000381469727,MIXED,34.7333833001926,,8,5|8,level_rejection,687.0,False
2026-02-18T15:10:00-04:00,686.41,20.100000381469727,MIXED,26.707192974231475,,7,5|6|8,level_rejection,687.0,False
2026-02-18T15:15:00-04:00,686.13,20.100000381469727,MIXED,24.2824453131675,,6,5|6|8|10,,,False
2026-02-18T15:20:00-04:00,686.66,20.100000381469727,MIXED,24.229534350592985,,5,5|6|8|9|10,,,False
2026-02-18T15:25:00-04:00,686.44,20.100000381469727,MIXED,24.90646687823528,,6,5|6|8|10,,,False
2026-02-18T15:30:00-04:00,685.905,20.100000381469727,MIXED,27.64019051357991,,7,5|6|8,level_rejection,686.0,False
2026-02-18T15:35:00-04:00,685.21,20.100000381469727,BEAR,42.34246748860642,,9,8,level_rejection|ribbon_flip,685.5,False
2026-02-18T15:40:00-04:00,685.18,20.100000381469727,BEAR,55.03727865225301,,9,8,level_rejection|ribbon_flip,685.5,False
2026-02-18T15:45:00-04:00,685.325,20.100000381469727,BEAR,63.67390311534109,BULL,6,7|8|9,level_rejection|ribbon_flip,685.5,False
2026-02-19T09:45:00-04:00,683.81,20.420000076293945,BEAR,115.63419700277109,MIXED,6,1|8|9|10,,,False
2026-02-19T09:55:00-04:00,683.94,20.420000076293945,BEAR,125.04579792582717,MIXED,7,1|8|9,level_rejection,684.23,False
2026-02-19T10:05:00-04:00,683.68,20.43000030517578,BEAR,134.70754680176924,MIXED,7,8|9|10,,,False
2026-02-19T10:30:00-04:00,684.05,20.43000030517578,BEAR,138.0900485201778,MIXED,7,7|8|9,level_rejection,684.23,False
2026-02-19T10:35:00-04:00,683.63,20.43000030517578,BEAR,144.35152195326282,MIXED,9,8,level_rejection,683.81,False
2026-02-19T10:40:00-04:00,684.54,20.43000030517578,BEAR,139.3720247644069,MIXED,7,7|8|9,level_rejection|confluence,684.6,False
2026-02-19T10:45:00-04:00,684.13,20.43000030517578,BEAR,138.64910273296118,MIXED,8,7|8,level_rejection|confluence,684.6,False
