timestamp_et,open,high,low,close,volume
2026-04-21 04:00:00-04:00,710.12,710.58,709.46,709.88,0
2026-04-21 04:05:00-04:00,709.89,710.5,709.5,709.7572,0
2026-04-21 04:10:00-04:00,709.7405,709.8,709.5597,709.5597,0
2026-04-21 04:15:00-04:00,709.609,709.74,709.57,709.73,0
2026-04-21 04:20:00-04:00,709.73,709.931,709.701,709.88,0
2026-04-21 04:25:00-04:00,709.94,710.27,709.871,710.24,0
2026-04-21 04:30:00-04:00,710.2,710.25,710.07,710.25,0
2026-04-21 04:35:00-04:00,710.2,710.25,710.0934,710.25,0
2026-04-21 04:40:00-04:00,710.25,710.701,710.2064,710.58,0
2026-04-21 04:45:00-04:00,710.5424,710.7,710.5,710.6267,0
2026-04-21 04:50:00-04:00,710.6,710.6302,710.5024,710.59,0
2026-04-21 04:55:00-04:00,710.61,710.61,710.4012,710.435,0
2026-04-21 05:00:00-04:00,710.4526,710.4526,710.0012,710.14,0
2026-04-21 05:05:00-04:00,710.0812,710.25,709.89,710.0287,0
2026-04-21 05:10:00-04:00,710.0012,710.14,710.0012,710.06,0
2026-04-21 05:15:00-04:00,710.05,710.2,710.0,710.141,0
2026-04-21 05:20:00-04:00,710.199,710.2192,710.0,710.04,0
2026-04-21 05:25:00-04:00,710.051,710.1192,709.9997,710.1007,0
2026-04-21 05:30:00-04:00,710.129,710.27,710.129,710.1827,0
2026-04-21 05:35:00-04:00,710.19,710.2505,710.1492,710.24,0
2026-04-21 05:40:00-04:00,710.2,710.3,710.169,710.22,0
2026-04-21 05:45:00-04:00,710.25,710.3005,710.19,710.2819,0
2026-04-21 05:50:00-04:00,710.2928,710.48,710.2928,710.4207,0
2026-04-21 05:55:00-04:00,710.44,710.92,710.44,710.9,0
2026-04-21 06:00:00-04:00,710.871,711.021,710.8,710.8824,0
2026-04-21 06:05:00-04:00,710.8815,711.19,710.8815,711.151,0
2026-04-21 06:10:00-04:00,711.11,711.12,710.9,710.96,0
2026-04-21 06:15:00-04:00,710.93,711.0,710.89,710.95,0
2026-04-21 06:20:00-04:00,710.94,710.95,710.8026,710.8924,0
2026-04-21 06:25:00-04:00,710.89,710.98,710.8426,710.94,0
2026-04-21 06:30:00-04:00,710.92,711.19,710.91,711.09,0
2026-04-21 06:35:00-04:00,711.08,711.3478,711.08,711.289,0
2026-04-21 06:40:00-04:00,711.27,711.29,711.15,711.24,0
2026-04-21 06:45:00-04:00,711.26,711.58,711.25,711.43,0
2026-04-21 06:50:00-04:00,711.43,711.69,711.43,711.6319,0
2026-04-21 06:55:00-04:00,711.65,711.74,711.57,711.6062,0
2026-04-21 07:00:00-04:00,711.56,711.6502,710.14,711.6,0
2026-04-21 07:05:00-04:00,711.58,711.76,710.8,711.351,0
2026-04-21 07:10:00-04:00,711.43,711.51,711.12,711.26,0
2026-04-21 07:15:00-04:00,711.24,711.41,711.09,711.3844,0
2026-04-21 07:20:00-04:00,711.3758,711.65,711.36,711.48,0
2026-04-21 07:25:00-04:00,711.4912,711.85,711.41,711.85,0
2026-04-21 07:30:00-04:00,711.82,712.15,711.8,712.05,0
2026-04-21 07:35:00-04:00,712.02,712.26,712.0197,712.1792,0
2026-04-21 07:40:00-04:00,712.16,712.28,711.95,712.015,0
2026-04-21 07:45:00-04:00,712.03,712.1,711.89,711.99,0
2026-04-21 07:50:00-04:00,711.985,712.07,711.8,711.836,0
2026-04-21 07:55:00-04:00,711.8357,711.84,711.53,711.56,0
2026-04-21 08:00:00-04:00,711.59,711.65,711.4,711.45,0
2026-04-21 08:05:00-04:00,711.445,711.74,711.44,711.74,0
2026-04-21 08:10:00-04:00,711.68,711.72,711.23,711.265,0
2026-04-21 08:15:00-04:00,711.3,711.3161,710.69,710.7109,0
2026-04-21 08:20:00-04:00,710.71,711.18,710.66,711.0707,0
2026-04-21 08:25:00-04:00,711.1,711.44,711.0,711.36,0
2026-04-21 08:30:00-04:00,711.4314,711.63,711.16,711.42,0
2026-04-21 08:35:00-04:00,711.4,711.5,710.4,710.49,0
2026-04-21 08:40:00-04:00,710.48,710.81,710.2,710.475,0
2026-04-21 08:45:00-04:00,710.4802,710.79,708.72,710.2435,0
2026-04-21 08:50:00-04:00,710.26,710.5607,710.07,710.53,0
2026-04-21 08:55:00-04:00,710.59,710.6602,710.24,710.41,0
2026-04-21 09:00:00-04:00,710.45,710.55,710.19,710.24,0
2026-04-21 09:05:00-04:00,710.18,710.285,710.06,710.09,0
2026-04-21 09:10:00-04:00,710.13,710.37,710.13,710.16,0
2026-04-21 09:30:00-04:00,709.5499877929688,710.4400024414062,709.0499877929688,709.4000244140625,2468233
2026-04-21 09:35:00-04:00,709.4099731445312,709.4349975585938,708.75,709.0399169921875,625699
2026-04-21 09:40:00-04:00,709.0399780273438,709.7100219726562,708.97998046875,709.6900024414062,416774
2026-04-21 09:45:00-04:00,709.6799926757812,710.4299926757812,709.3900146484375,710.22998046875,516289
2026-04-21 09:50:00-04:00,710.22998046875,710.864990234375,710.0900268554688,710.6400756835938,490030
2026-04-21 09:55:00-04:00,710.6400146484375,710.8400268554688,710.5800170898438,710.75,401255
2026-04-21 10:00:00-04:00,710.75,710.969970703125,710.4600219726562,710.5999755859375,425352
2026-04-21 10:05:00-04:00,710.6090087890625,711.1799926757812,710.5599975585938,711.030029296875,365304
