date,time_entry,side,trendline_direction,slope_usd_per_hour,trendline_price_at_break,retest_level,retest_bar_low,retest_bar_high,retest_bar_close,entry_premium,exit_premium_avg,tp1_premium,runner_exit_premium,qty,dollar_pnl,exit_reason,hold_minutes,setup
2026-04-10,11:25,C,ascending,0.1036,681.84,681.1599731445312,681.1500244140625,681.9500122070312,681.239990234375,2.66,2.45,,2.45,3,-63.84,ExitReason.EXIT_ALL_PREMIUM_STOP,10,TRENDLINE_BREAK_RETEST
2026-04-16,13:00,P,ascending,0.16,700.89,700.85,700.469970703125,700.8900146484375,700.5999755859375,1.18,1.15,,1.15,3,-7.11,ExitReason.EXIT_ALL_RIBBON_FLIP_BACK,5,TRENDLINE_BREAK_RETEST::BS_FALLBACK
2026-04-22,11:10,C,ascending,0.1411,709.54,709.74,709.75,710.1679077148438,709.8400268554688,2.5,2.3,,2.3,3,-60.0,ExitReason.EXIT_ALL_PREMIUM_STOP,25,TRENDLINE_BREAK_RETEST
2026-04-22,12:05,C,ascending,0.1411,709.67,709.74,709.8300170898438,710.1199951171875,709.969970703125,2.46,2.26,,2.26,3,-59.04,ExitReason.EXIT_ALL_PREMIUM_STOP,10,TRENDLINE_BREAK_RETEST
2026-04-22,13:00,P,ascending,0.207,709.38,709.74,708.8900146484375,709.719970703125,709.6099853515625,1.22,1.12,,1.12,3,-30.13,ExitReason.EXIT_ALL_RIBBON_FLIP_BACK,5,TRENDLINE_BREAK_RETEST::BS_FALLBACK
2026-04-23,11:50,P,ascending,0.0847,711.51,711.2,710.7100219726562,711.2449951171875,710.780029296875,1.3,1.12,,1.12,3,-53.7,ExitReason.EXIT_ALL_RIBBON_FLIP_BACK,5,TRENDLINE_BREAK_RETEST::BS_FALLBACK
2026-04-24,13:15,P,ascending,1.0703,713.39,713.38,713.0399780273438,713.3699951171875,713.0750122070312,0.9,0.86,,0.86,3,-12.87,ExitReason.EXIT_ALL_RIBBON_FLIP_BACK,5,TRENDLINE_BREAK_RETEST::BS_FALLBACK
2026-04-29,11:15,P,descending,-0.0562,710.95,710.786,710.10498046875,710.869873046875,710.6699829101562,1.37,1.28,,1.28,3,-28.6,ExitReason.EXIT_ALL_LEVEL_STOP,5,TRENDLINE_BREAK_RETEST::BS_FALLBACK
2026-04-30,10:50,C,ascending,0.0754,711.53,712.6,712.6799926757812,713.9000244140625,713.6900024414062,2.65,2.44,,2.44,3,-63.6,ExitReason.EXIT_ALL_PREMIUM_STOP,55,TRENDLINE_BREAK_RETEST
2026-05-06,10:15,C,ascending,0.3171,729.81,729.5,729.5700073242188,730.260009765625,729.739990234375,2.44,4.28,3.17,6.49,3,551.4,ExitReason.TP1_THEN_RUNNER_TIME,335,TRENDLINE_BREAK_RETEST
2026-05-06,11:40,P,ascending,0.3635,731.53,731.7,730.9400024414062,731.7100219726562,731.3300170898438,0.96,0.85,,0.85,3,-34.33,ExitReason.EXIT_ALL_RIBBON_FLIP_BACK,5,TRENDLINE_BREAK_RETEST::BS_FALLBACK
2026-05-06,12:35,P,ascending,0.3635,731.83,731.7,731.47998046875,731.7603759765625,731.6701049804688,1.16,1.19,,1.19,3,8.81,ExitReason.EXIT_ALL_RIBBON_FLIP_BACK,5,TRENDLINE_BREAK_RETEST::BS_FALLBACK
2026-05-06,13:50,C,descending,-0.3221,731.65,731.7,731.7999877929688,732.0499877929688,731.97998046875,2.11,3.31,2.74,4.45,3,360.6,ExitReason.TP1_THEN_RUNNER_TIME,120,TRENDLINE_BREAK_RETEST
